id,title,titleKr,artist,tj,ky,series_id,type
742d241b-2833-4709-b6aa-437be9ea5882,星の旅人,,"센본기 사야카,하나모리 유미리(千本木彩花,花守ゆみり)",68515,44710,,INSERT
2bf66030-a584-4812-b418-d32fd67630fe,想い出がいっぱい,,H2O ※,28343,41652,,INSERT
83016cf7-69d0-4dd1-b54e-3334d9a1f3a5,ラブ・ストーリーは突然に,,오다 카즈마사(小田 和正) ※,27168,42167,,INSERT
79757a83-2006-4c2b-b864-51f8f211e6d1,CHE.R.RY,,YUI※,26413,42342,,INSERT
d2cdd7a4-a7c0-4c2d-9327-882045b84188,道標,,타치바나 케이타(橘慶太),26244,42095,,INSERT
3a9c4f2f-5a0c-4989-9cc7-e7dae550698a,Sakura addiction,,"히바리,                         쿄야vs로쿠도 무쿠로(雲雀恭弥vs六道骸)",27018,42612,,INSERT
73dbbd8e-c12b-481e-8c6e-dd92e6c3d625,BOYS & GIRLS,,LM.C,26776,42667,,INSERT
71cb5316-111c-4c21-ab38-8ecef67973d1,クフフのフ~僕と契約~,,이이다 토시노부(飯田利信),28201ⓗ,42699ⓕ,,INSERT
70b70123-7fe4-457c-b06c-b9d31e86b772,STAND UP!,,Lead,26740,42727,,INSERT
4764de9a-67d3-4307-8833-5b7f444ede01,アメあと,,w-inds.,28168ⓗ,42735,,INSERT
2f08db3e-5413-43cf-91f2-4510bbe3764a,DIVE TO WORLD,,CHERRYBLOSSOM,26993,42738ⓕ,,INSERT
57382c47-c793-4732-96b6-a798a6985b3b,Drawing days,,SPLAY,26482,42772ⓕ,,INSERT
e297927e-20c6-4d6d-8c13-48e9c70dd9df,88,,LM.C,27016,42800,,INSERT
8d672e3a-3fd5-4188-955c-b7fb845e81db,CYCLE,,CHERRYBLOSSOM,28033ⓗ,42848,,INSERT
c2ae87a0-8233-480b-82f3-ed9a55e74dc8,ひとりぼっちの運命,,"콘도,                         타카시(近藤隆)",28250ⓗ,42881,,INSERT
79d1ab6d-bcea-41a9-8ec4-d55761ff6eda,俺達のJOY!,,이치노세 히데카즈vs이노우에 스구루(市瀬秀和vs井上優),28371ⓗ,42907,,INSERT
e2c94b9e-a818-45fb-b0dc-309350f07f99,桜ロック,,CHERRYBLOSSOM,27037,42939,,INSERT
4ffc57d1-909d-40a6-8113-71a1a00c2090,ファミリー ~約束の場所~,,고쿠분 유카리 with봉고레 패밀리(國分優香里 with ボンゴレファミリー),28253ⓗ,42944,,INSERT
e9155d99-b6a1-4409-a876-8b273bfd7abb,last cross,,미츠오카 마사미(光岡昌美),28080ⓗ,43017,,INSERT
7a1dfd63-49f5-4c30-aca8-e7871a917874,EASY GO,,"카토,                         카즈키(加藤和樹)",28046ⓗ,43094,,INSERT
3159e299-cebb-4c51-bdea-3d26d78cb846,Funny Sunny Day <Japanese Version>,,SxOxU,28056ⓗ,43179,,INSERT
bc1b4b2d-63d2-44fa-b077-169311693669,gr8 story,,SuG,28061ⓗ,43216,,INSERT
673a4814-1f9c-496c-91a8-0761dfa1ab45,LISTEN TO THE STEREO!!,,Going Under Ground,27054,43254,,INSERT
e0ea0c88-ebe0-4b28-bfad-212c4592bc5a,すべり台,,모리 츠바사(森翼),28632ⓗ,42981ⓗ,,INSERT
f3fe76d1-38e6-4b13-83f4-b310d287ae56,守るべきもの,,고쿠분 유카리(國分優香里),27874ⓗ,43793ⓗ,,INSERT
6d06587f-9925-45e1-bceb-6f3d2c4a238b,Last Kiss,,Bonnie Pink,28061ⓗ,XXX,,INSERT
d5e8dfae-e0bc-4ae4-b0a0-ed661fd5cb20,KABANERI OF THE IRON FORTRESS,,EGOIST,27904,44037,,INSERT
1cbc7033-89a3-419f-bb7f-42959d454edd,ninelie,,Aimerwithchelly,27922,44044,,INSERT
22703df8-2c5a-4928-9552-781685a81d2f,Feed A,,OLDCODEX,27834,XXX,,INSERT
ea062df9-5e86-4c4d-9835-fa763d9c73e7,久遠,,미야노 마모루(宮野真守),28297ⓗ,42470,,INSERT
1d1c3243-5790-48f9-bb05-548f7995c9c9,STORMBRINGER,,JAM Project,26961,XXX,,INSERT
c8db3f80-13e5-43e5-b77a-51708e7bbd8b,雨が降る,,사카모토 마아야(坂本真綾),28374ⓗ,42963,,INSERT
b33132cd-7167-406c-ba10-b8c8f2e46f1c,鬼帝の剣,,ALI PROJECT,XXX,43000ⓗ,,INSERT
e23cd60e-5251-49b1-8fbb-1b190be9e08b,メリッサ,,Porno Graffitti,25625,41636,,INSERT
f25b1231-6d6b-4329-a32b-c19cd4e2abbd,READY STEADY GO,,L'Arc~en~Ciel,25692,41703,,INSERT
